gene	count
ENSGGOG00000000384	177
ENSGGOG00000000385	92
ENSGGOG00000000387	2066
ENSGGOG00000000388	3394
ENSGGOG00000000389	89
ENSGGOG00000000390	593
ENSGGOG00000000391	82
ENSGGOG00000000392	1211
ENSGGOG00000000393	233
ENSGGOG00000000395	58
ENSGGOG00000000397	5431
ENSGGOG00000000398	2300
ENSGGOG00000000400	294
ENSGGOG00000000401	382
ENSGGOG00000000402	1150
ENSGGOG00000000403	60
ENSGGOG00000000404	57
ENSGGOG00000000406	47
ENSGGOG00000000407	17
ENSGGOG00000000408	2007
ENSGGOG00000000409	198
ENSGGOG00000000410	65
ENSGGOG00000000411	1019
ENSGGOG00000000414	6
ENSGGOG00000000415	1261
ENSGGOG00000000416	456
ENSGGOG00000000417	355
ENSGGOG00000000418	1915
ENSGGOG00000000419	166
ENSGGOG00000000420	23
ENSGGOG00000000421	696
ENSGGOG00000000422	94
ENSGGOG00000000423	0
ENSGGOG00000000424	60
ENSGGOG00000000425	1
ENSGGOG00000000426	57
ENSGGOG00000000428	363
ENSGGOG00000000429	1500
ENSGGOG00000000430	420
ENSGGOG00000000431	0
ENSGGOG00000000432	257
ENSGGOG00000000433	1934
ENSGGOG00000000434	536
ENSGGOG00000000435	58
ENSGGOG00000000436	1673
ENSGGOG00000000437	0
ENSGGOG00000000440	301
ENSGGOG00000000441	81
ENSGGOG00000000442	512
ENSGGOG00000000443	16
ENSGGOG00000000446	202
ENSGGOG00000000447	74
ENSGGOG00000000448	14
ENSGGOG00000000449	216
ENSGGOG00000000450	1974
ENSGGOG00000000451	154
ENSGGOG00000000452	186
ENSGGOG00000000453	1032
ENSGGOG00000000454	409
ENSGGOG00000000457	34
ENSGGOG00000000458	1605
ENSGGOG00000000459	41
ENSGGOG00000000460	123
ENSGGOG00000000461	1467
ENSGGOG00000000462	104
ENSGGOG00000000463	112
ENSGGOG00000000464	0
ENSGGOG00000000465	333
ENSGGOG00000000466	0
ENSGGOG00000000467	48
ENSGGOG00000000468	5522
ENSGGOG00000000470	503
ENSGGOG00000000471	3714
ENSGGOG00000000472	3548
ENSGGOG00000000473	899
ENSGGOG00000000474	321
ENSGGOG00000000475	243
ENSGGOG00000000476	2
ENSGGOG00000000477	298
ENSGGOG00000000478	553
ENSGGOG00000000482	409
ENSGGOG00000000483	91
ENSGGOG00000000484	979
ENSGGOG00000000485	1179
ENSGGOG00000000486	1078
ENSGGOG00000000487	3750
ENSGGOG00000000488	2353
ENSGGOG00000000489	68
ENSGGOG00000000490	1
ENSGGOG00000000491	100
ENSGGOG00000000493	567
ENSGGOG00000000495	1971
ENSGGOG00000000496	534
ENSGGOG00000000497	0
ENSGGOG00000000498	203
ENSGGOG00000000499	377
ENSGGOG00000000500	644
ENSGGOG00000000501	13
ENSGGOG00000000502	1320
ENSGGOG00000000503	697
ENSGGOG00000000504	1
ENSGGOG00000000505	45
ENSGGOG00000000506	412
ENSGGOG00000000507	530
ENSGGOG00000000508	4
ENSGGOG00000000510	19
ENSGGOG00000000511	70
ENSGGOG00000000512	79
ENSGGOG00000000513	2639
ENSGGOG00000000514	290
ENSGGOG00000000515	1946
ENSGGOG00000000516	201
ENSGGOG00000000517	2157
ENSGGOG00000000519	546
ENSGGOG00000000520	299
ENSGGOG00000000521	3
ENSGGOG00000000522	6
ENSGGOG00000000525	7
ENSGGOG00000000526	0
ENSGGOG00000000527	463
ENSGGOG00000000528	84
ENSGGOG00000000529	17
ENSGGOG00000000530	97
ENSGGOG00000000531	1006
ENSGGOG00000000532	4059
ENSGGOG00000000533	644
ENSGGOG00000000534	603
ENSGGOG00000000535	54
ENSGGOG00000000536	126
ENSGGOG00000000537	2230
ENSGGOG00000000538	406
ENSGGOG00000000539	2507
ENSGGOG00000000540	107
ENSGGOG00000000541	45
ENSGGOG00000000543	74
ENSGGOG00000000544	1384
ENSGGOG00000000545	833
ENSGGOG00000000548	320
ENSGGOG00000000549	98
ENSGGOG00000000550	995
ENSGGOG00000000551	124
ENSGGOG00000000552	4
ENSGGOG00000000553	9
ENSGGOG00000000554	1377
ENSGGOG00000000555	4030
ENSGGOG00000000556	279
ENSGGOG00000000557	148
ENSGGOG00000000558	475
ENSGGOG00000000559	0
ENSGGOG00000000560	33
ENSGGOG00000000563	530
ENSGGOG00000000564	0
ENSGGOG00000000568	44
ENSGGOG00000000569	26
ENSGGOG00000000570	934
ENSGGOG00000000571	740
ENSGGOG00000000572	40
ENSGGOG00000000573	79
ENSGGOG00000000575	1030
ENSGGOG00000000576	606
ENSGGOG00000000577	439
ENSGGOG00000000578	1793
ENSGGOG00000000579	3103
ENSGGOG00000000580	536
ENSGGOG00000000581	778
ENSGGOG00000000583	267
ENSGGOG00000000586	134
ENSGGOG00000000587	14
ENSGGOG00000000589	1603
ENSGGOG00000000590	51
ENSGGOG00000000591	1481
ENSGGOG00000000592	407
ENSGGOG00000000595	113
ENSGGOG00000000596	2880
ENSGGOG00000000597	196
ENSGGOG00000000598	212
ENSGGOG00000000599	69
ENSGGOG00000000600	8
ENSGGOG00000000602	52
ENSGGOG00000000603	207
ENSGGOG00000000604	625
ENSGGOG00000000605	311
ENSGGOG00000000606	402
ENSGGOG00000000607	303
ENSGGOG00000000609	84
ENSGGOG00000000610	2
ENSGGOG00000000611	1588
ENSGGOG00000000612	1
ENSGGOG00000000613	116
ENSGGOG00000000614	348
ENSGGOG00000000615	2
ENSGGOG00000000616	427
ENSGGOG00000000617	609
ENSGGOG00000000618	0
ENSGGOG00000000619	74
ENSGGOG00000000620	29
ENSGGOG00000000622	5
ENSGGOG00000000623	103
ENSGGOG00000000624	27
ENSGGOG00000000625	349
ENSGGOG00000000626	2725
ENSGGOG00000000627	1
ENSGGOG00000000628	198
ENSGGOG00000000629	0
ENSGGOG00000000630	2
ENSGGOG00000000631	13
ENSGGOG00000000632	1926
ENSGGOG00000000633	207
ENSGGOG00000000634	4442
ENSGGOG00000000635	233
ENSGGOG00000000636	183
ENSGGOG00000000637	9
ENSGGOG00000000639	268
ENSGGOG00000000642	178
ENSGGOG00000000643	114
ENSGGOG00000000644	820
ENSGGOG00000000646	461
ENSGGOG00000000647	72
ENSGGOG00000000648	128
ENSGGOG00000000649	321
ENSGGOG00000000650	410
