gene	count
ENSPTRG00000000945	393
ENSPTRG00000000946	1
ENSPTRG00000000947	333
ENSPTRG00000000948	12
ENSPTRG00000000952	56
ENSPTRG00000000954	6
ENSPTRG00000000955	167
ENSPTRG00000000956	1
ENSPTRG00000000958	1106
ENSPTRG00000000959	77
ENSPTRG00000000960	61
ENSPTRG00000000962	247
ENSPTRG00000000963	1153
ENSPTRG00000000964	277
ENSPTRG00000000965	251
ENSPTRG00000000966	172
ENSPTRG00000000967	51
ENSPTRG00000000969	254
ENSPTRG00000000970	296
ENSPTRG00000000971	108
ENSPTRG00000000972	410
ENSPTRG00000000973	151
ENSPTRG00000000975	116
ENSPTRG00000000976	163
ENSPTRG00000000977	146
ENSPTRG00000000978	23
ENSPTRG00000000979	394
ENSPTRG00000000980	39
ENSPTRG00000000981	15
ENSPTRG00000000984	92
ENSPTRG00000000987	325
ENSPTRG00000000990	30
ENSPTRG00000000992	35
ENSPTRG00000000993	201
ENSPTRG00000000994	1319
ENSPTRG00000000995	66
ENSPTRG00000000996	1
ENSPTRG00000000997	310
ENSPTRG00000000999	366
ENSPTRG00000001000	22
ENSPTRG00000001001	56
ENSPTRG00000001002	39
ENSPTRG00000001003	31
ENSPTRG00000001004	185
ENSPTRG00000001007	22
ENSPTRG00000001008	23
ENSPTRG00000001009	7
ENSPTRG00000001010	357
ENSPTRG00000001011	111
ENSPTRG00000001012	102
ENSPTRG00000001014	91
ENSPTRG00000001015	99
ENSPTRG00000001017	144
ENSPTRG00000001022	53
ENSPTRG00000001023	110
ENSPTRG00000001024	12
ENSPTRG00000001026	30
ENSPTRG00000001027	0
ENSPTRG00000001028	0
ENSPTRG00000001030	355
ENSPTRG00000001031	23
ENSPTRG00000001032	694
ENSPTRG00000001033	1
ENSPTRG00000001034	186
ENSPTRG00000001036	1
ENSPTRG00000001037	136
ENSPTRG00000001038	396
ENSPTRG00000001039	1073
ENSPTRG00000001040	500
ENSPTRG00000001041	19
ENSPTRG00000001042	93
ENSPTRG00000001043	1804
ENSPTRG00000001044	3039
ENSPTRG00000001045	229
ENSPTRG00000001046	2386
ENSPTRG00000001048	101
ENSPTRG00000001051	145
ENSPTRG00000001052	158
ENSPTRG00000001053	62
ENSPTRG00000001054	33
ENSPTRG00000001055	179
ENSPTRG00000001056	1
ENSPTRG00000001057	756
ENSPTRG00000001060	414
ENSPTRG00000001061	289
ENSPTRG00000001062	0
ENSPTRG00000001065	0
ENSPTRG00000001066	65
ENSPTRG00000001067	3167
ENSPTRG00000001069	317
ENSPTRG00000001070	10
ENSPTRG00000001073	431
ENSPTRG00000001074	49
ENSPTRG00000001078	149
ENSPTRG00000001080	1
ENSPTRG00000001082	1
ENSPTRG00000001084	5
ENSPTRG00000001085	39
ENSPTRG00000001086	265
ENSPTRG00000001087	62
ENSPTRG00000001089	165
ENSPTRG00000001090	5
ENSPTRG00000001092	1
ENSPTRG00000001095	36
