gene	WT1	WT2	WT3	DL1	DL2	DL3	E41	E42	E43	XG1	XG2	XG3
CCNA_01808	6	6	4	31	41	59	10	26	15	8	7	11
CCNA_01809	65	32	41	50	81	102	27	31	24	43	30	31
CCNA_01810	9	7	11	24	25	29	7	13	9	15	7	9
CCNA_01811	11	12	5	21	26	33	7	9	7	8	9	4
CCNA_01812	11	13	10	30	46	41	8	17	10	16	9	10
CCNA_01813	21	52	29	173	210	280	76	139	93	66	32	34
CCNA_01814	36	54	26	169	219	287	68	161	115	85	27	41
CCNA_01815	43	52	49	145	192	261	63	140	96	64	31	28
CCNA_01816	59	60	51	208	265	348	74	151	100	105	35	41
CCNA_01817	22	21	22	79	107	112	32	48	38	35	19	26
CCNA_01818	13	16	10	49	61	91	32	52	30	24	12	14
CCNA_01819	172	138	116	312	395	424	59	101	91	175	134	162
CCNA_01820	29	36	21	134	188	198	41	90	62	53	25	43
CCNA_01821	9	16	9	61	80	98	25	45	41	30	10	12
CCNA_01822	73	56	46	165	161	221	38	65	40	63	41	47
CCNA_01823	1	10	1	17	19	14	12	18	13	7	6	1
CCNA_01824	2	0	2	10	6	11	4	7	4	7	4	5
CCNA_01826	111	74	61	327	396	462	100	186	137	168	267	127
CCNA_01827	32	42	14	84	86	110	36	64	43	29	23	21
CCNA_01828	23	17	18	52	59	55	11	34	25	25	10	16
